time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446600000	17.6863	5.77582	4.97495	0.876283	0.418971	lidar	2.2021	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.827	5.97777	4.94533	0.914461	0.455015	radar	0.96015	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0033	6.16198	4.95243	0.923414	0.436866	lidar	0.82388	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.152	6.37161	4.96851	0.947748	0.438776	radar	0.658142	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2731	6.60681	4.9912	0.987764	0.461695	lidar	0.4063	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4035	6.82344	4.99119	1.01693	0.472977	radar	0.196705	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5553	6.95447	4.90481	1.00582	0.430405	lidar	2.38498	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7059	7.15954	4.93481	1.0109	0.396998	radar	0.698326	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9081	7.29118	4.88332	0.980138	0.333402	lidar	4.14059	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9931	7.49856	4.81923	1.02854	0.395132	radar	4.08895	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0825	7.76115	4.86966	1.07707	0.43116	lidar	1.08897	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.204	7.96802	4.87001	1.09006	0.415938	radar	0.316831	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.283	8.18325	4.84989	1.12198	0.430393	lidar	1.35834	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.383	8.39341	4.85038	1.13511	0.409285	radar	2.29569	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4802	8.53936	4.74874	1.13629	0.387126	lidar	3.96429	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5705	8.74908	4.7267	1.16122	0.401442	radar	0.576304	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7359	8.91885	4.69774	1.14019	0.350605	lidar	4.16617	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8073	9.14222	4.67822	1.17898	0.391874	radar	1.04283	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.939	9.36542	4.70737	1.18229	0.371023	lidar	2.97508	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9808	9.59118	4.66661	1.23613	0.439606	radar	2.65262	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0679	9.82977	4.69651	1.25692	0.437594	lidar	0.746882	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1287	10.0783	4.73909	1.28171	0.430451	radar	7.16555	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1751	10.3505	4.79587	1.32047	0.450557	lidar	0.866715	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1882	10.5898	4.77298	1.37477	0.509281	radar	2.73513	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.246	10.861	4.82989	1.40109	0.508851	lidar	2.01965	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2755	11.1175	4.86134	1.42785	0.501224	radar	4.89684	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3096	11.355	4.85728	1.45128	0.499387	lidar	0.00579506	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2504	11.608	4.83023	1.53971	0.618516	radar	9.97476	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.323	11.8456	4.83201	1.54124	0.583314	lidar	5.05846	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3527	12.0788	4.84269	1.53607	0.505106	radar	4.02625	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.339	12.3643	4.90743	1.57341	0.517023	lidar	1.0528	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2866	12.6046	4.88258	1.63828	0.596293	radar	2.87299	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3124	12.8423	4.87209	1.64872	0.573905	lidar	2.01041	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3004	13.0744	4.85472	1.67375	0.572399	radar	2.11162	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.265	13.287	4.8132	1.70397	0.575761	lidar	1.01299	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2271	13.5224	4.81439	1.72712	0.557769	radar	1.33121	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
